구복,맘맘테이블,소담식당,신촌돈부리모노,싸움의 고수,아비꼬 신촌점,아웃닭,엠브로돈까스,유닭스토리 닭한마리,짚신매운갈비찜,프레퍼스,한술식당,해탄,화로상회
샤오롱바오 굿,"신촌맛집 인정
계속 생각나는 맛",아담하고 분위기 좋아요,사케동에 연어가 입에서 정말 살살 녹았고 갈릭버터감자튀김 존맛탱이었어요..???? 냉모밀도 양도 엄청 많고 직원분들 친절하시고 친구랑 갔는데 콜라 하나 시켜도 잔도 두개씩 주시는 센스까지?? 너무 만족스럽게 먹고 왔습니다!! 또 갈거에요!!!,굿굿,,"신메뉴 주문했는데 갈릭이랑 먹을때 단짠으로 추천??
둘 다 맛있습니당 둘이 먹기에 양 적당해요!","양이 진짜미쳤고
특히 소스 너무맛있어요 대박",맛나요!! 고등학생때부터 꾸준히 방문해요,"비오는 날 먹는 매운 갈비찜이라 더 특별하더라구요!맛있게 매운 맛 갈비에 주먹밥 같이 먹어도 좋구요, 다른 곳과 다르게 여긴 세트메뉴에 술도둑 지짐이세트랑 바삭한 고추튀김이 있어 술안주로도 좋았어요. 인테리어도 깔끔하고 음악까지 딱 제 취향이라 기분좋게 즐기고 왔네요~????",맛있어요,,"오징어가 탱글탱글! 불맛이 싸악~~돌고, 지글지글 맛나겠쥬?
맛납니다. 잘먹었습니다. 해탄",완전맛있어요..특히 닭갈비
맛있어요!,신촌 쌀국수/분짜의 성지,평일 점심 12시반에 방문했는데 테이블이 많지 않아서 금방 꽉 찼어요. 육회사케동이랑 피켄테 파스타 시켰습니다. 둘 다 정말 맛있었어요! 사케동은 밥 아래 소스랑 잘 섞어서 드시면 환상적인 맛입니다. 연어도 엄청 두껍고 맛있었어요. 피켄테 파스타는 계란 노른자와 잘 섞어드시면 꾸덕하면서도 은근 매콤한 맛에 완전 반하실 거에요! 귀여운 버섯들 집어먹는 재미도 있었어요. 주문하면 음식 나오는데 10분 정도 소요되는 것 같아요. 인테리어도 너무 예쁘고 기본 물도 보리차라 좋았어요.,가성비 굿굿,혼밥하기 좋은데 쌈장 양이 넘 적음 ㅠ,,항상 맛있는 곳입니다 추천!ㅎㅎ,굿!,처음먹어보는데 짱맛있어요,신촌역에서 점심식사 약속으로 방문한 갈비찜 전문점이에요. 예전부터 맛있게 먹던곳이라 또 방문했습니다. 매콤한 국물양념이 다른곳과는 다르게 여기만의 맛이 있어요. 갈비찜도 부드러웠어요.,맛있어용,,"친구들과 보쌈맛집 찾아 방문했어요 ?
먼저 깔끔해서 마음에 들었고 직원도 친절합니다
맛도 보장합니다.^^
다음에는 가족과 또 방문하고 싶어요
강추 합니다",불맛이나고 너무맛있어요
"우육면 비주얼은 소박하지만 맛은 확실히 있어요
대만에서 먹은 우육면이랑 비슷한 느낌에 국물이 맛있네요 면은 얇은면이라 개인적으로 조금 아쉬웠습니다 샤오롱바오 따뜻할 때 먹으면 맛있어요","쌀국수는 너무 짜서 거의 못 먹었어요. 맛있다던 분짜에 있는 짜조, 고기도 너무 짰고 .. 딱딱했어요 ㅠ 예전에 인스타그램에서 보고 방문한건데 실망....",좋아오ㅡ,가게가 깨끗하고 음식이 맛있습니다!!!!양도 혜자???????,,,맛있습니다 대학교 친구들이랑 자주 올려구요,음식도 금방 나오고 돈까스도 바삭해요! 쫄면이랑 잘 어울려요!!,치즈닭갈비덮밥이랑 닭칼국수 시켰어요! 자주 오던 곳인데 언제나 맛있게 먹고 가는거 같아요. 닭 땡기실때 강추입니당,"깔끔하고 점심특선 이용하면 4만원대에 소갈비 배부르게 먹을 수 있는 은근 가성비 밥집
매장도 넓어서 떼밥도 가능함",혼밥하기 진짜 괜찮아요????,,맛있을 것 같아서 검색해서 방문했는데 맛있고 사장님도 친절해요 ~,"요즘 무한리필이 없으니 너무 좋았어요!
고기는 3가지밖에 없어서 좀 아쉽네요"
자꾸 국물이 생각나는 우육면 맛집,"현지느낌 많이나고 양도 많고 좋았어요!
단 조금만 덜짜면 좋을듯 싶더라구요 ㅎㅎ",피칸테파스타랑 고르곤졸라 피자 너무 맛있어요♥?♥?,푸짐하고 맛있게 먹었답니다! 유케동과 믹스동 가라아게 최고였어요!,가성비 좋고 맛있어요!!????,,오랜만에 방문했어요.. 역시 맛은 여전하네요. 진짜 맛있고 웬만한 치킨집보다 퀄도 좋고 매장 분위기도 좋고 모임하기 딱 좋아요!,"맛있고 양이 많아요
땡초추가 꼭^^",맛있게 먹고가요! 국물이 뜨끈해요,"돼지 갈비찜이 아주 부드러워 맛있어요
간도 짜지않고 중간 매운맛이 제 입맛에는 맛있는 매운맛이라 아주 좋았어요.",포장 빠르고 좋아요!,,"리모델링을 해서 그런 지 매장 인테리어가 예쁘도 아주 깨끗해요. 저희 가족이 오징어를 좋아해서 직접 찾아 방문을 했는데 아주 맛있게 먹었습니다! 하이볼도 있어서 더 좋았습니다. 나중에 친구들과 재방문하고 싶네요, 잘 먹고 갑니다아",
흠 맛이바꼈어요,"향이 이국적이네요!
독특한 맛이에요",장어덮밥 jmt,"유케동, 에비후라이, 가츠동 먹었어요~ 유케동에 올라간 소고기는 너무너무 신선했고 가츠동은 두툼하고 양념이 잘되어 정말 맛있었어요!! 에비후라이까지 바삭하니 완벽했고 사장님도 너무 친절하세용!! 다음에 또 갈께요 너무 잘 먹었습니다~~",,,맛있어욤 ㅎㅎㅎㅎ,돈까스 소스가 진짜 너무 맛있어서 중독 됩니다!! 집에가면 떠 먹고 싶어서 생각나는 맛입니다 ㅎㅎ 돈까스도 부드럽고 가성비도 좋네요! 역시 믿고 먹는 돈까스 강추입니다!!????,너무 맛있어요 신촌맛집:) 리뷰이벤트 감사해오,"신촌에서 편하게 낮술 하기도 좋고 데이트 하면서 점심 먹기에도 좋은 매운갈비찜 맛집이에요
매운갈비찜 깔끔하고 중독성 있어서 자꾸 찾게됩니다 ㅎㅎ","매장이 깔끔하고 좋습니다! 단백질 71g ㄷㄷ… 도전은 못해봤지만 담에 먹어볼게요
제 최애는 포크로제파스타 ?? 다들 건강해지세요",,,굿굿
우육면 맛있어요 대만에서 먹어본 그맛 소고기도 부들부들 딤섬은 밥이 들고 호불호 갈릴맛이네요 전 살짝 불 다음에는 샤오롱바오로 먹어봐야 할듯 간은 짭짤한 편,신촌에서는 여기가 짱맛집^^,맛있어요,"신촌 돈부리 맛집으로 유명해서 가봤는데 진짜 가격대비 양 많고 너무 맛있었어요 신촌 가면 다음에는 다른 메뉴로 먹어보겠습니다!! 다 먹어보고 싶기 때문이죠~!
분위기도 좋고 사장님도 친절하세요ㅎㅎㅎ
소개팅 같은 장소에도 좋아보여요!",.,,음식도 맛있고 닭다리살로 튀김옷 대비 살 도 많아요!내부 인테리어도 좋아요!,친구들이랑 배고파서 맛집이라 왔어요~~~ 왕돈까스도 있는데 사진을못찍은~~~,"닭한마리
1인분 주문가능해서
좋아요~",돼지갈비찜 매콤하니 넘 맛있어요! 맵기 70%로 먹었는데 너무맵지않고 딱 술이랑 먹기 좋았어용 지짐이도 쫀맛탱 ㅠㅠ,자주 오는데 항상 빨리 나와서 좋아요! 여기서 닭곰탕 처음 먹어보는데 맛있어요!,,"길걷다가 우연히 들어왔는데 이런맛집을 찾다니 완전 럭키비키자나?? 보통식당가서 오징어볶음시키면 오징어 다섯개정도 넣어주고 양파로 양뿔리기 시키는데 여기는 오징어가 많아서 너무너무 좋았어요!!?? 너무 자극적이지 않고 적당한 불향도 나서 더 맛있게 느껴졌습니다! 사이드못시키면 죽는 병에 걸렸는데 오징어튀김이 1인분이 아닌 반인분이 있어서 기분좋게 시켜먹을수 있어 좋았어요!!?? 볶음밥은 선택이 아닌 필수니까 꼭 드세요!! 8월 리뷰이벤트로 하이볼도 마셔볼수 있으니까 꼭! 리뷰써서 하이볼도 드셔보세요 하이볼도 맛도리??
자주 올게요 제발 사라지지말고 계속 있어주세요...♡","삼겹살이랑 갈비가 막창이랑 같이 나오는 삼막이, 갈막이를 먹었는데 맛있었어요~^^ 셀프코너도 바로바로 채워져서 좋아요!!!"
네이버에 나와있는 메뉴 가격보다는 500원 정도씩 더 올랐네요. 샤오롱바오 안의 고기가 단단히 뭉쳐있는 식감인데 여기 원래 스타일 같기도 하고요. 새우가 들어간 새우 샤오롱이 더 괜찮았던거 같아요. 국물 맛도 괜찮고요. 딤섬은 안 먹어봤는데 궁금하네요.,장소가 좀 좁은 게 흠이지만 똠얌쌀국수 맛있었어요!,운 좋게 웨이팅 없이 들어왔어요~ 파스타 두 개랑 장어덮밥 먹었는데 다 맛있고 양도 많았어요~ 파스타에 후추 적당히 뿌려져 나오는데 조화가 너무 만족스러웠습니다. 조용한 분위기라 대화하기도 좋아요!,좋아요,,,지나갈 때 마다 사람이 많아서 궁금했는데 먹어보니 왜 사람이 많은지 알겠어요 ! 치킨 장난 아니네요 사장님께서 맛잘알이신게 느껴집니다 굳굳,돈까스 옛날 경양식 좋아하면 맛있을거에요,닭 한마리 맛있게 잘 먹었습니다~!~!,"??매운맛집 찾는 분들께 추천(안매운것도 맛있긴 함)
??기본사리 감자, ,버섯, 떡, 옹심이
??당면사리 추가 추천
??매운맛 단계 여러개라 좋고, 느끼하지 않은 매콤함
??음식 겁나 빨리 나오고 2분만 끓여먹으면 됨
??참치마요주먹밥 마요네즈 낭낭해서 맛있긴한데 말기가 좀 어려웠음
??소갈비찜 부드럽고 죠습니당 :)

https://blog.naver.com/twomoon2411/223382256750",겨울이라 곰탕이 나왔다고 해서 먹으러 왔어요,,점심 메뉴 너무 맛있어요,"친구랑 같이 가서 먹었어요
고기 너무 괜찮구 숯이 진짜 좋음!
까만건 숯이고 빨간건 불이구나 했었는데 예전 고깃집 알바하면서 마인드 바꼈음! 숯 좋으면 맛이 더 좋다는걸~ 막창 존맛...
매장 안도 깨끗하고 재방문의사 100%임! 잘먹었어요"
"숙대입구 앞 구복만두와는 다른 가게인것같은데
똑같이 맛있는 만두를 만날수있네요!",맛있어요,"보통 가게에서 불쾌했던 경험은 넘기는 편인데, 여기는 계속 생각나서 남깁니다.
가게에 들어갈 때부터 알바생의 안내도 없고 제가 먼저 4명인데 어디 앉아야하냐고 말을 걸자 굉장히 작은 목소리로 대답해서 두번이나 물어봤어요.
그 뒤 메뉴를 주문했고 메뉴는 30분이 다 되어서 나왔습니다. 저희 이전에 메뉴를 기다리는 건 한 팀이 전부였고요.
총 메뉴 중 파스타 1개만 나오지 않길래 그 메뉴는 또 언제까지 기다려야하냐고 물어봤습니다. 그러자 알바는 옆 주방을 고갯짓으로 가리키며 지금 나왔어요 라고 대답한 후 주방으로 다시 사라졌습니다.
맛있게 먹으라는 말이나 한 메뉴만 유독 늦게 나온 거에 대한 말은 기대하지도 않았지만 듣지 못했습니다.
서비스도 별로고 음식도 이유를 모를만큼 늦게 나옵니다.",양도 많고 맛있게 잘먹었네요~~,,,너무너무 맛있어요~!,오랜만에 돈까스랑 불백 땡겨서 방문했어요! 돈까스는 말해뭐해 당연히 맛있고 킥은 불백입니다…!! 쌈밥정식처럼 사이드가 나오는데 아주 알차요 ㅎㅎㅎ 밥 반찬 국은 리필도 가능하니 든든한 한끼 가능함니당,"닭 한마리 최고!
손님들도 많아서 조금 기다려야 했는데 기다린 보람이 있었어요. 진짜 맛있음!","매콤한게 땡겨서 오랜만에 매운짚신갈비 방문햇어요!
집 근처에도 잇지만 거기보다 신촌점으로 방문했어요~
날도 좋아서 홍대와도 가깝고 유플렉스도 방문할겸!
뭘 주문할지 몰라서 고민하는데 사장님이 추천도 해주시는걸로 주문햇더니 양이 딱맞거라고요!
매콤칼칼한 갈비찜은 역시 매운짚신갈비????",좋아요 맛있구 금방나옴요 리뷰이벤트도 항상해서 조아요,,"친절하고
엄청 맛있고
양도 많아요",돼갈이 죤내 맛있음
우육면 맛있어요~,맛있어요,굿,7년만에 오랜만에 다시 왔는데 진짜 너무너무너무 맛있어요 역시 맛잇어서 한 자리에서 오래 가게가 있는거 같아요 가격도 좋고! 직원분들도 너무 친절해요 싹다 긁어 먹었어요!!,,,치킨 너무 맛있구 서비스도 너무 좋아여 강추해여,몇년째 자주 오는 신촌 맛집!!,"너무 맛있었어요 또 갈께요 너무 친절하세요
사람많은 이유가 있네요 ㅎ ㅎ",매운 맛 제대로 느낀 맛집! 매운갈비찜은 예전부터 인기메뉴지만 오랜만에 맛보니 왜 그리 오래 사랑받는 지 알겠더라구요. 3단계로도 충분히 느꼈습니다!,건강하고 맛있고 담백하고 빠름,,,"저녁에 밥먹으러 가서 너무 맛있게 먹고 갑니다~
무한리필 중 화로상회 너무 만족했습니다!!
재방문 의사 100% 입니당~.~
친절하고 깨끗하고 맛좋구 굿굿굿"
간판이 없어 찾기 힘들었지만 독특하고 맛있어요!,"오랜만에 방문했는데 쌀국수가 너무너무 짯습니다..
뜨거운물을 두컵이나 부었는데도 국물은 짜고 면은 그제서야 먹을만했습니다
분짜도 소스는 좀 짜더라고요 ㅠㅠ
옆에 테이블에서도 짜다고 하시던데..
기대하고 갔는데 실망이에요 ㅠㅠ 다음엔 간 잘 맞춰주세요..",굿,"회사에서 멀지 않은 곳인데 처음 방문했네요
라멘하나 시켜 국물 삼아 돈부리로 같이 식사
음식이 모두 맛깔나네요
돈부리 소스가 넘 많아서 인지 살짝 짭짤..
담에 가면 소스량 조정 좀 부탁해야할듯..
무튼 맛있고 친절하신 식당입니다",,,너무 맛있어요!! 추천,너무 맛있어요!!미니 우동이랑 쫄면 세트 있는거 너무 좋은 것 같아요??,신촌에서 너무 유명하길래 와봤는데 넘 맛있어요!,"고기도 야들야들하고 양념도 잘 베어서 너무 맛있어요
역시 매운 갈비찜은 짚신~~~! 매콤하고 부드러운 고기가 맛있어서 술도 술술 들어가네요
옷에 양념이 튀었는데 세제도 가져다주시고 ㅠㅠ사장님 너무 친절하세요....! 다음에 재방문하겠습니다",명이나물이 맛있어용,,,"다른 지역에 있는 화로상회에서 맛있게 먹은 기억이 있어신촌에 왔을때도 방문했습니다

사진을 보시면 아시겠지만 딱 봤을때 거부감이 들게 생겼습니다 …

세번째 그릇을 주문했을때 삼겹살을 구웠더니 껍데기 부분이 저렇게 닭살 돋은 듯이 올라와있더군요

무한리필집이니 퀄리티를 기대하기에는 힘들다고 생각합니다만 다른 무한리필집을 가도 이런 고기는 봐본적이 없어요

제대로 고기를 확인하지않고 판매하는 느낌을 받았고 이 다음그릇부터는 찝찝하고 입맛이 떨어져 바로 계산하고 그냥 나왔습니다 …

많이 기대하고 간 신촌점이었는데 입맛만떨어졌네요

직원분은 친절하셨는데 알바분은 대답도 안하고 그냥 눈만 보고 대답없이 바로 휙 가버리시더라구요
주문이 제대로 들어갔는지도 긴가민가 하게했네요

조금 더 신경써주셨으면 좋겠습니다"
굳,,굿,음식 다 맛있어요 유케동 신선하지 않으면 별로인데 괜찮았어요 믹스동도 괜찮았고 가라아게가 진짜 안짜고 적당히 잘 튀겨져서 맛있어요,,,순살 후라이드 반 양념반 시켰는데 역시 너무 맛있네요... 느끼하지 않고 바삭한 튀김에 소스 4종 하나씩 찍어먹다보면 시간가는줄 몰라요 자주 오는데 역시 너무 맛있어요,잘먹고갑니다! 이름이 땡초라서 매울까봐 걱정했는데 전혀 맵지 않아요??,맛있게 먹었습니다.,"매운갈비찜이 먹고싶어서 방문한 짚신매운갈비찜 신촌점!! 점심 세트 메뉴로 소갈비 2인 세트를 먹었는데 날치알 주먹밥, 계란찜이 같이 나오고 소갈비찜 안에도 떡, 감자, 옹심이, 버섯 사리가 들어있어서 따로 사리 추가를 안해도 양이 푸짐했다? 소갈비찜에는 소갈비 50%, 소사태 50%가 들어있고 소갈비가 다 부드러워서 뼈랑 저절로 분리되고 먹기 좋았다!!! 매운 갈비찜이 땡기면 신촌 맛집인 <짚신매운갈찜 신촌점>에 방문해보시는걸 추천드린다????",음식이 너무 맛있었어요 ㅠㅠ,,양도많고맛있어요,"맛있어요
친절하진않은것 같아요"
우육면이 맛있어요,"현지느낌나는 국수같은데..
그냥저냥 먹을만하다....",피자 넘 맛있어요! 추천,육회가 정말 신선해서 맛있었어요! 밥도 맛있고 좋습니당,,,"아웃닭은 늘 맛있어요!
반반메뉴로 남자친구랑 같이 먹어서 만족도도 높습니다~",돈가스 먹고 싶을 때마다 먼길 걸어 올 정도로 맛있어요!,너무 맛있어요??,신촌에 있는 매운갈비집 짚신매운갈비찜을 다녀왔어요. 세트메뉴로 다양하게 음식을 먹을수있고 맵기도 선택할수있어서 좋았어요. 신라면맵기를 원한다면 30프로로주문하세요. 사장님이 친절하셔서 더 맛있게 잘먹었답니다.,소고기 맛있다,,"오징어볶음 너무 맛있어요
수육도 부드럽고~
맛집인정이요♡
대합탕 국물에 아이들이 칼국수 먹고 싶다고 해서 사리추가 했더니 육수랑 미나리도 가득 주셨어요
맛있고, 인심도 좋네요♡",역시 최고에요ㅜㅜ 고기 맛나요
기스면 맛있어요. 혼자 하셔서 조리시간은 좀 걸리는 편.,"음식도 빨리 나오고 양도 많고 맛있었어요!!!
양 많아서 저희는 안 먹었지만 면추가 1회 무료라뇨~~
똠얌쌀국수 국물 넘 맛도뤼~~~~
가격도 싼거같아요!","블루베리피자 강추 사케동도 맛있어요
블루베리피자만 먹으면 좀 물리니 블루베리피자+아마트리치아나 같이 먹으면 굿",맛있어요,,,아웃닥 엄청 맛있어요 강추!!,맛있고 매장이 넓어서 좋아요!,"신촌에 닭한마리 맛있다고 해서 방문했습니다.
취향에 맞게 소스 만들어 먹으니 맛있습니다!!","오랜만에 먹은 짚신매운갈비찜인데 여전히 매콤하고 맛있었습니다. 소갈비찜으로 주문해서 먹었고, 매운 맛을 잡아줄 계란찜과 콜라를 같이 주문했습니다. 기본으로 나오는 콩나물을 넣어서 먹는 것도 좋았고 추가해서 더 넣어서 먹었네요. 마무리로는 밥볶음에다가 치즈까지 추가했습니다. 맛있었네요.",재료가 신선해서 좋았어요 재방문하겠습니다 :),,와 여기 진짜 맛있다… 오징어가 살살 녹고 제육이 쫀득!,굿
샤오롱바오 맛있어요~,항상 웨이팅 많은 맛집 메뉴는 쌀국수 밖에 안막어봤지만 제일 애정하는 쌀국수집이에요 다음엔 분짜도 도전해보기로!!,오일파스타 넘 맛있어요,"믹스가츠동 유케동 가라아게 먹었는데
고기가 부드러운 편이고 간이 적당해서 엄청 맛있게 먹었어요~~!
전체적으오 맛의 밸런스가 좋아서 잔잔히 또 생각날것 같네요????",,,너무 오랜만에 방문했는데 분위기가 좋고 양이 여전히 많고 바삭거리고 너무 맛있어요~담에 신촌오면 또 올게요??,,신기한 인테리어와 맛있는 닭한마리! 칼국수 사리 강추에요!,"세트2번구성으로 맛봤는데 상당히 알차요! 좋아하는 사리까지 선택폭이 넓어서 맛있게 즐길수 있었어요
맵기조절 6단계나 가능하고 잡내하나없이 부드럽고 맛있더라고요!!
직원분과 사장님까지 친절하니 단골안될 이유가없다죠????",양도 적당해서 먹기 좋아요,,비싼오징어를 가성비 좋게 먹을수있어서 너무 좋아요 다음에도 올 래요,"신촌 무한리필 고기집 화로상회 강추해요,??"
맛있어요,"몇년째 찾고 있는 최애 분짜집.
쌀국수도 볶음밥도 평균 이상이지만
맘맘테이블은 분짜가 진리다.",굿,"규동도 맛있는데 유케동이 특히 맛있어요??
사이드로 버터갈릭감자튀김 주문했는데 양도 진짜 많았습니다ㅎㅎ 갓성비!!
다음에는 사케동 먹으러 올래요",,,너무 맛있어요 역시 아웃닭??,신촌에서 자주가는 맛집이에요,"넘 맛있는 닭한마리입니다!!
남자친구랑 먹었는데 너무 맛있고 배불렀습니다??
국물도 간이 딱이고 양도 많아서 강추
왜 인기가 많은지 알겠더라구요!
칼국수는 사랑??
조만간 친구랑 와서 또 묵어야겠어용!!",그냥그냥그냥,"배달만 시키다가 오늘은 ㅠ매장와서 먹고가요~

잘먹고갑니다",,구성 너무 알차요 배부르고 맛있습니다!!,삼겹살이 맛있습니다
홍콩에서 3대 딤섬집이라는 곳에 찾아갔는데 이집보다 못했습니다.... 면도 정말 맛있어요! 면에 들어간 고기까지 성의있는 집... -10년 넘은 단골,이번엔 좀 짯지만 그래도 맛있다 분짜,맛있어요,김치치즈가츠동이랑 유케동 진짜 맛있어요!! 혼밥하기도 좋은 곳이에용,,,"나무 맛있을 것 같아요~~♡
기대되요~~",엠브로돈까스 먹고싶어서 남자친구 끌고 수원에서 여기까지 왔다ㅠㅠ!!!!!!!! 여전히 맛잇습니당 잘 먹을게용,존맛탱구리!!!,지점마다 맛이 달라,맛있당,,부모님이랑 방문했는데 좋아요!! 매장도 깔끔하고 셀프 반찬대도 있어서 편해요~~ 신촌 부모님이나 친구 모임 식당으로 추천합니다!!!,"통삼겹살ㆍ막창
돼지갈비 ㆍ돼지껍데기
달갈비 ㆍ막창ㆍ돼지껍데기

이 구성으로 4접시 먹었습니다!
처음에 통삼겹을 구울때 화로에 고기가 들러붙어서 엄청 놀랬어요... 다행히 다음고기를 구울때는 괜찮더라구요!
리뷰를 보니까 화로열이 약하는 얘기가 있던데
확실히 약했어요..
회전율 팍팍 올리면서 빨리빨리 먹어야할때는
여기오면 안될것같아요ㅠㅠ
4접시 먹는데 2시간이 거의 다와가더라구요.
고기 굽다가 시간 다가요.
그래도 고기들 맛은 정말 훌륭했습니다!
특히 닭갈비를 닭찌찌 식감으로 생각하면 안되요!
되게되게 부드럽고 살살녹아요...
돼지껍데기랑 막창도 되게되게 맛있어서 나중에
돼지껍데기ㆍ막창 맛집 찾아가고싶을정도에요.."
"샤오롱빠오 안에 고기가 정말 튼실하네요
맛있어요","진짜 베트남 분들이 하시는 가게라 그런지 약간 현지 느낌도 나고 좋았어요
양도 많고 맛있어요",친절합니다,친구와 맛있게 잘 먹었습니다,,,오랜만에 아웃닭~~ 맛잇습니다 ㅎㅎ 강추욤,메뉴가 다양하고 세트메뉴도 있어요 쫄면도 최고!!,"지금까지 먹은 닭한마리 중 유일무이합니다.
찍어먹는 특제 소스가 굉장한 킥이거덩요.
웨이팅이 길어서 적당히 일찍 오시는 걸 추천합니다",매콤하고 고기가 부드러워서 넘 맛있어요,"진짜 애용하는 곳이라 너무 맛있게 먹었어요!
재료도 신선하고 언제나 맛있어요",,"메뉴구성과 맛, 기본 직원서비스는 다좋았습니다.
그러나 네이버 예약 시스템이 잘 되어있는지는 의문입니다.
1. 네이버 예약했다고 했는데 기본 좌석이 세팅 되어 있지
않고 편안곳에 앉으라고 했습니다.
(당일 취소 안된다고하여 방문했는데 관리가 안되는
느낌이었습니다.)
2. 이름조차 확인하지 않고, 음료쿠폰도 썼는데
제가 음료쿠폰을 이야기해야 받을수 있었습니다.
기본적인 직원서비스는 좋았습니다만 네이버 예약시스템을 이럴러면 왜 받는지 의문이었습니다.
개선해주세요.",뷔페라서 양껏먹어도 부담없고 가성비 굳
샤어롱바오 안에 육즙이 없어서 좀 슬펐어요ㅠㅠ,그동안 먹은 쌀국수 중 베스트 존맛,친절합니다,혼밥하기는 좋은데 냉동육회라 호불호가 갈릴듯,,,오랜만에 와서 먹어도 맛잇어용,"저번에 오고 너무 맛있어서 오늘도 방문했어용!!
자주 오겠습니다~????","비가 잠깐 쏟아져서 닭한마리 먹으려고 친구랑 방문했습니다. 음식 맛도 좋고 수저 젓가락 세트가 분리포장 되어 있어서 깔끔했습니다.
하지만 다시 재방문 하지 않을 예정입니다. 닭한마리와 죽만 시켰는데 결제금액이 맞지 않아 되돌아가서 가격 물어보았더니 소주 마시지 않았냐고 되물어보시더라구요. 옆테이블 소주가 저희 테이블 결제금액에 포함되어 결제 된 것 같은데, 바로 돌아가서 확인하지 않았으면 상도 치워지는 상황이라 먹지도 않았을 소주값도 내야했을텐데 사과도 없으셔서 조금 황당했습니다.

아무리 바쁘고 정신 없으셔도 사과 한마디 해주셨으면 종종 찾아갔을 맛집인데, 태도가 아쉬워서 재방문의사는 없습니다.",맵진않지만 친절하시고 천사채 많이 달라고 했는데 듬뿍주셨어요^^,빠르게 진행되고 매장 내부 깔끔해요. 좋아요,,"오징어가 통통해요 짜지않고 맛있어요 살짝매워요
자꾸 자꾸 먹고 싶은 맛이예요
수육도 잡내도 없고 두께도 느끼하지 않게 딱 맛있어요
그리고 저 와사비 간장소스가 만능이예요
고기랑 싸먹어도 맛있고 오징어를 싸먹을때 밥에 뿌려도 맛있어요
정말 다시 또 오고싶네요
더운여름에 입맛 확 돋우는 맛집입니다",가성비도 좋고 함께하기 분위기가 맘에들어요
만두짱,자주이용합니다,굳,"부타동? 먹었습니다.
한 그릇에 9500원으로 만 원 안해서 괜찮았어요.
반찬이 양배추? 하나라 단무지나 다른 반찬 하나정도라도 더 있으면 좋지 않을까 생각합니다.",,,잘 먹었습니다 ~~ 양이 많고 맛있어요. 완전 추천!,,,당면추가했는데 너무 양이적어서 중국당면 추가했는데 그것도양도 적고 벌레가있질않나 볶음밥시켯는데 치즈도없다고하질않나 맛도 없고 왠만하면 안좋은 리뷰안남기려고하는디 볶음밥도 맛없고 일하기시르면 일하지마세요.. 정말 불쾌해서 글 남깁니다,다이어트 중인 저에게 맛과 영양 모두 챙길수 있는곳..! 집앞에도 생겼으면 좋겠어요 ㅎㅎ,,다른메뉴들도 너무 맛있었는데 다먹어서 사진이 없네요ㅠㅠ매장 너무 깨끗하고 음식들도 너무 맛있습니다!!!신촌에 오신다면 꼭한번 들랴보세요!!,와 진짜 맛있어요. 무한리필 막창인데.. 너무 부드럽고 맛있어요ㅠㅠ
맛있어요~~,"쌀국수 정말 맛있어요
똠양도 맛있구요^^",굿,재료가 다 신선하고 맛있었어요 요리도 빨리 나오는 편이라 배고팠는데 진짜 후딱 먹었네요 깔끔한 한끼 만족스럽습니다,,,"치킨 양도 많고 너무 맛있어요!
사람이 많지만 넓어서 바로 입장했어요",맛있어요,신촌에 숙소 잡고 배고파서 나왔더니 바로 앞에 유명한 맛집이 있다해서 와봤습니다! 국물 깔끔하니 해장과 낮술하기 좋은 맛이고 매장도 넓어서 쾌적합니다! 맛집 인정!!,매워요,프레퍼스 진짜 너무 좋아해서 둘이서 세개 뿌셨어요 ????,,,"무한리필 가게인데 고기 질이 좋아요!!
그리고 고기 종류도 다양해서 더 좋았어요 (삼겹살, 양념갈비, 닭갈비, 막창, 껍데기 등등)"
친철하고 맛있어요!,맛있었어요! GOOD!!,진짜 너무 맛있어요ㅠㅠㅠ,"육회비빔밥이람냉모밀. 시원하고 맛좋아서 연어덮밥 추가해서 먹었어요.
가까우면 자주가고 싶네요",,,사장님이 친절하시고 치킨도 너무 맛있어서 다음에도 또 올거 같아요!!,굿,"어우 맛있네요
모듬사리하면 떡 파 더 많이 주시고
칼국수사리도 같이 나와서 딱 좋아요",ㅜㅜ,맛있고 편리해서 애용합니다!,,사랑하는 마눌님과 왔습니다,"요기 신촌 찐맛집이에요
1. 고기 맛있고 신선해요
2. 사장님 , 직원분들 친절하세요
3. 매장 깨끗하고 인테리어 깔끔해요
4. 음식시키면 빨리나와영
5. 셀프바에 음식 꽉꽉 차있고 깨끗해요

진짜 자주오고 싶은데 다이어트때문에 ㅜㅜ
치팅데이때 화로상회 오고 싶은마음으로 하루하루 견딥니다 저녁때가면 웨이팅 있지만 그만큼 너무 맛있고 여기만큼 맛있는 신촌 고깃집 없어요 .. 신촌 고기집 돌고 돌다 결국 화로상회로 옵니다 완전 강추 .. !! 보통 고깃집가면 시끄러워서 소리도 잘 안들리는데 여기는 은근 조용한편이어서 좋고 고기냄새도 안배고 좋아요?? 셀프바에 무제한 파채 , 상추도 너무 좋아요 맛있는 음식 가성비있게 주셔서 감사해요 잘먹고갑니다 ????????"
